Number
24
15
5
8
7
18
24
9
27
8
10
20
1
15
25
17
17
7
32
21
5
31
27
25
32
13
0
8
19
11
18
10
7
8
3
15
7
25
13
4
17
34
10
31
32
6
33
34
2
12
26
8
19
25
17
14
8
35
21
6
6
12
25
15
25
8
29
0
20
0
10
10
34
26
20
32
13
11
33
